 block_type , spot1_corr_r, spot1_corr_g, spot1_corr_b, spot2_corr_r, spot2_corr_g, spot2_corr_b
Control Block,5,5,2,115,137,134
Control Block,2,1,1,106,141,139
Control Block,2,0,0,104,138,138
Control Block,3,0,0,102,135,134
Control Block,0,1,5,108,146,137
Control Block,5,2,0,111,143,129
Control Block,1,7,0,106,138,129
Control Block,2,2,0,112,138,130
Control Block,1,0,3,103,143,127
Control Block,0,3,6,105,146,134
Test Block 3,52,92,97,97,127,129
Test Block 3,52,97,95,102,126,130
Test Block 3,51,95,90,89,130,122
Test Block 3,58,95,94,95,126,128
Test Block 3,44,99,93,90,132,125
Test Block 3,47,96,97,94,129,122
Test Block 3,52,96,94,96,132,125
Test Block 3,52,92,92,95,130,126
Test Block 3,55,97,95,94,130,122
Test Block 3,49,95,94,94,129,121
Test Block 2,71,71,18,102,103,58
Test Block 2,71,72,22,97,101,58
Test Block 2,69,76,19,92,103,61
Test Block 2,70,75,21,96,101,53
Test Block 2,68,73,21,94,100,59
Test Block 2,68,76,22,101,104,61
Test Block 2,73,76,23,99,100,61
Test Block 2,68,74,21,92,100,60
Test Block 2,69,72,21,94,95,60
Test Block 2,70,75,22,90,98,62
Test Block 1,39,79,79,90,126,112
Test Block 1,37,83,80,90,121,112
Test Block 1,40,81,76,96,113,107
Test Block 1,34,77,83,91,126,105
Test Block 1,34,80,79,95,120,112
Test Block 1,40,79,76,99,119,114
Test Block 1,42,81,78,95,123,125
Test Block 1,36,77,80,92,117,111
Test Block 1,42,80,80,97,122,124
Test Block 1,35,85,77,90,123,119
