block_type,spot1_corr_r,spot1_corr_g,spot1_corr_b,spot2_corr_r,spot2_corr_g,spot2_corr_b
Control Block,0,1,0,105,133,132
Control Block,4,6,4,106,138,135
Control Block,1,1,5,111,139,137
Control Block,7,3,5,106,139,133
Control Block,2,5,5,111,136,126
Control Block,0,2,2,108,138,136
Control Block,5,3,2,106,141,130
Control Block,3,3,6,111,137,133
Control Block,4,0,6,110,136,133
Control Block,2,0,2,106,137,137
Test Block 3,51,95,93,93,129,125
Test Block 3,52,94,92,96,128,123
Test Block 3,54,98,90,91,132,127
Test Block 3,52,92,96,93,129,129
Test Block 3,48,94,95,95,124,127
Test Block 3,54,99,93,97,128,126
Test Block 3,51,94,92,97,127,128
Test Block 3,56,95,95,93,131,123
Test Block 3,54,97,92,92,129,125
Test Block 3,51,91,92,89,127,126
Test Block 2,69,72,20,94,100,53
Test Block 2,68,75,21,98,97,60
Test Block 2,72,73,21,96,102,59
Test Block 2,67,75,20,94,102,59
Test Block 2,69,75,21,95,101,62
Test Block 2,71,70,21,91,102,61
Test Block 2,67,72,20,97,98,62
Test Block 2,69,76,19,92,102,61
Test Block 2,67,74,19,93,105,56
Test Block 2,66,76,19,94,100,59
Test Block 1,39,80,80,95,123,112
Test Block 1,37,80,81,95,121,114
Test Block 1,37,83,79,98,124,114
Test Block 1,39,76,79,93,114,113
Test Block 1,38,85,87,91,124,108
Test Block 1,39,82,77,92,116,124
Test Block 1,38,79,77,94,125,126
Test Block 1,40,82,81,86,119,117
Test Block 1,37,81,74,92,126,109
Test Block 1,38,79,81,90,125,115
