block_type,spot1_corr_r,spot1_corr_g,spot1_corr_b,spot2_corr_r,spot2_corr_g,spot2_corr_b
Test Block 1,173,174,218,132,128,156
Test Block 1,173,174,218,132,128,156
Test Block 1,173,174,218,132,128,156
Test Block 1,173,174,218,132,128,156
Test Block 1,173,174,218,132,128,156
Test Block 1,173,174,218,132,128,156
Test Block 1,173,174,218,132,128,156
Test Block 1,173,174,218,132,128,156
Test Block 1,173,174,218,132,128,156
Test Block 1,173,174,218,132,128,156
Test Block 2,234,182,186,197,155,161
Test Block 2,234,182,186,197,155,161
Test Block 2,234,182,186,197,155,161
Test Block 2,234,182,186,197,155,161
Test Block 2,234,182,186,197,155,161
Test Block 2,234,182,186,197,155,161
Test Block 2,234,182,186,197,155,161
Test Block 2,234,182,186,197,155,161
Test Block 2,234,182,186,197,155,161
Test Block 2,234,182,186,197,155,161
Test Block 3,161,161,204,125,126,157
Test Block 3,161,161,204,125,126,157
Test Block 3,161,161,204,125,126,157
Test Block 3,161,161,204,125,126,157
Test Block 3,161,161,204,125,126,157
Test Block 3,161,161,204,125,126,157
Test Block 3,161,161,204,125,126,157
Test Block 3,161,161,204,125,126,157
Test Block 3,161,161,204,125,126,157
Test Block 3,161,161,204,125,126,157
Control Block,249,249,249,121,116,145
Control Block,249,249,249,121,116,145
Control Block,249,249,249,121,116,145
Control Block,249,249,249,121,116,145
Control Block,249,249,249,121,116,145
Control Block,249,249,249,121,116,145
Control Block,249,249,249,121,116,145
Control Block,249,249,249,121,116,145
Control Block,249,249,249,121,116,145
Control Block,249,249,249,121,116,145
