block_type,spot1_corr_r,spot1_corr_g,spot1_corr_b,spot2_corr_r,spot2_corr_g,spot2_corr_b
Test Block 1,254,253,254,217,201,245
Test Block 1,255,249,255,214,211,246
Test Block 1,253,255,252,187,201,255
Test Block 1,255,255,254,211,199,250
Test Block 1,255,255,254,198,203,249
Test Block 1,253,254,255,181,200,250
Test Block 1,254,254,252,201,212,247
Test Block 1,250,255,253,218,190,255
Test Block 1,255,255,255,198,198,230
Test Block 1,253,254,255,212,204,245
Test Block 1,254,253,255,211,202,239
Test Block 1,253,255,252,208,212,249
Test Block 1,254,251,251,216,217,241
Test Block 1,253,255,250,188,208,245
Test Block 1,253,253,255,179,187,244
Test Block 1,251,253,255,205,205,254
Test Block 1,254,255,253,215,213,243
Test Block 1,255,253,254,205,182,255
Test Block 1,254,254,254,196,204,255
Test Block 1,253,255,255,208,195,245
Test Block 1,254,252,255,200,212,246
Test Block 1,252,255,255,191,210,234
Test Block 1,253,255,255,191,199,249
Test Block 1,253,255,254,218,230,238
Test Block 1,255,254,252,209,198,255
Test Block 1,255,251,255,194,207,226
Test Block 1,255,255,253,205,207,243
Test Block 1,255,255,254,213,181,241
Test Block 1,253,255,255,214,193,255
Test Block 1,253,253,253,203,200,229
Test Block 1,252,255,253,205,199,251
Test Block 1,252,255,253,212,188,252
Test Block 1,255,249,253,198,194,250
Test Block 1,254,248,255,184,214,246
Test Block 1,255,255,252,194,192,243
Test Block 1,252,253,255,187,195,245
Test Block 1,255,255,255,180,199,252
Test Block 1,253,255,255,207,205,227
Test Block 1,255,254,253,204,198,242
Test Block 1,251,250,251,209,197,225
Test Block 1,254,253,255,191,205,255
Test Block 1,254,252,255,197,214,248
Test Block 1,253,255,255,202,217,242
Test Block 1,252,255,255,196,199,255
Test Block 1,254,252,255,201,212,255
Test Block 1,253,255,252,215,187,251
Test Block 1,255,255,248,196,193,230
Test Block 1,251,255,255,192,205,240
Test Block 1,251,255,254,195,207,255
Test Block 1,255,252,255,209,230,245
Test Block 1,255,255,251,201,208,240
Test Block 1,251,255,253,204,195,229
Test Block 1,254,252,252,190,193,247
Test Block 1,254,255,255,200,204,242
Test Block 1,255,253,255,190,209,237
Test Block 1,255,255,255,201,203,251
Test Block 1,250,255,254,211,201,244
Test Block 1,253,255,251,195,193,248
Test Block 1,255,250,250,194,216,245
Test Block 1,252,252,255,206,216,253
Test Block 1,255,252,255,191,211,246
Test Block 1,255,253,251,184,191,255
Test Block 1,255,253,250,198,205,236
Test Block 1,253,254,255,188,209,249
Test Block 1,254,254,253,212,199,237
Test Block 1,255,255,255,213,199,250
Test Block 1,255,255,255,223,175,235
Test Block 1,254,255,250,194,209,243
Test Block 1,255,253,253,210,182,250
Test Block 1,251,252,255,214,188,241
Test Block 1,255,255,255,205,199,246
Test Block 1,249,255,255,194,194,237
Test Block 1,255,255,254,227,197,251
Test Block 1,253,253,255,184,207,214
Test Block 1,253,255,255,200,209,247
Test Block 1,254,255,255,192,191,231
Test Block 1,255,254,255,199,194,245
Test Block 1,255,255,254,195,210,245
Test Block 1,249,255,255,178,190,244
Test Block 1,253,255,255,200,194,236
Test Block 2,136,115,130,255,254,255
Test Block 2,130,114,128,255,254,254
Test Block 2,134,112,126,254,255,255
Test Block 2,127,123,130,255,255,254
Test Block 2,129,117,131,252,255,255
Test Block 2,137,118,127,252,255,251
Test Block 2,140,123,135,255,255,251
Test Block 2,135,111,133,255,255,255
Test Block 2,132,113,137,255,255,254
Test Block 2,135,114,124,255,252,254
Test Block 2,129,115,130,251,253,255
Test Block 2,125,112,123,255,252,255
Test Block 2,136,115,130,252,255,255
Test Block 2,130,115,134,255,255,255
Test Block 2,139,121,137,246,255,251
Test Block 2,133,118,140,251,255,252
Test Block 2,136,114,130,255,255,255
Test Block 2,133,114,126,255,255,255
Test Block 2,141,117,137,255,254,247
Test Block 2,133,115,125,251,255,255
Test Block 2,131,121,124,254,255,253
Test Block 2,135,116,123,255,252,255
Test Block 2,136,117,138,252,255,255
Test Block 2,134,115,134,255,255,255
Test Block 2,133,107,126,255,255,255
Test Block 2,132,111,135,253,253,255
Test Block 2,138,116,127,255,255,249
Test Block 2,140,114,131,255,253,248
Test Block 2,133,124,131,254,255,249
Test Block 2,130,121,131,255,255,252
Test Block 2,130,120,135,255,254,249
Test Block 2,133,113,131,252,255,252
Test Block 2,135,115,132,255,255,251
Test Block 2,136,114,130,255,254,255
Test Block 2,127,110,124,255,255,255
Test Block 2,130,110,129,255,255,255
Test Block 2,130,114,128,255,254,255
Test Block 2,130,115,129,255,255,254
Test Block 2,131,110,130,255,247,255
Test Block 2,135,115,135,255,253,255
Test Block 2,131,113,125,255,255,251
Test Block 2,126,124,134,255,251,252
Test Block 2,129,123,124,254,252,254
Test Block 2,134,117,131,250,255,255
Test Block 2,131,119,138,255,254,255
Test Block 2,131,113,131,255,252,255
Test Block 2,127,114,132,254,255,255
Test Block 2,131,111,125,255,255,252
Test Block 2,132,120,133,255,255,253
Test Block 2,135,112,127,254,255,255
Test Block 2,129,112,133,254,254,255
Test Block 2,132,113,135,255,254,255
Test Block 2,131,111,129,255,253,255
Test Block 2,130,114,127,255,255,254
Test Block 2,129,117,134,253,255,255
Test Block 2,132,116,127,255,255,255
Test Block 2,135,115,130,251,255,255
Test Block 2,133,108,134,255,255,255
Test Block 2,125,115,131,253,252,255
Test Block 2,130,112,135,253,252,252
Test Block 2,135,118,120,253,249,255
Test Block 2,140,108,131,255,254,252
Test Block 2,133,110,138,255,253,255
Test Block 2,121,112,128,255,251,255
Test Block 2,133,111,121,255,253,254
Test Block 2,139,121,133,255,254,253
Test Block 2,130,111,142,254,255,255
Test Block 2,132,116,135,255,255,250
Test Block 2,135,117,131,255,254,255
Test Block 2,127,112,126,255,255,255
Test Block 2,130,112,135,255,252,255
Test Block 2,132,114,126,255,255,255
Test Block 2,131,108,138,255,255,255
Test Block 2,136,116,121,253,255,255
Test Block 2,133,116,133,255,255,255
Test Block 2,133,123,139,255,255,255
Test Block 2,133,118,128,255,255,255
Test Block 2,133,121,124,248,255,252
Test Block 2,135,116,132,255,255,253
Test Block 2,133,111,129,255,255,255
Test Block 3,255,254,255,157,187,139
Test Block 3,252,255,255,159,179,145
Test Block 3,255,255,255,178,193,157
Test Block 3,255,255,255,163,175,155
Test Block 3,252,254,255,156,164,147
Test Block 3,255,255,255,151,186,148
Test Block 3,255,255,253,158,157,152
Test Block 3,255,254,255,133,180,137
Test Block 3,255,255,255,173,176,133
Test Block 3,255,255,255,158,177,136
Test Block 3,255,255,255,171,193,158
Test Block 3,255,255,255,159,164,157
Test Block 3,255,255,255,144,180,163
Test Block 3,255,255,255,169,172,148
Test Block 3,255,255,255,153,181,163
Test Block 3,254,255,255,154,170,143
Test Block 3,255,255,255,147,170,137
Test Block 3,255,255,255,146,163,146
Test Block 3,255,255,255,156,158,144
Test Block 3,255,255,255,154,177,166
Test Block 3,255,255,255,165,178,154
Test Block 3,255,255,255,154,190,158
Test Block 3,255,255,255,183,172,158
Test Block 3,255,255,255,165,183,159
Test Block 3,255,255,255,169,185,164
Test Block 3,254,255,255,153,168,137
Test Block 3,254,254,255,177,174,148
Test Block 3,255,255,255,180,180,160
Test Block 3,255,255,255,165,170,147
Test Block 3,255,255,255,149,191,159
Test Block 3,255,255,253,165,166,144
Test Block 3,255,255,255,152,181,157
Test Block 3,254,255,255,166,163,151
Test Block 3,255,255,255,143,176,155
Test Block 3,255,255,255,160,179,182
Test Block 3,254,254,255,179,172,157
Test Block 3,255,255,255,176,177,152
Test Block 3,254,255,255,140,184,155
Test Block 3,252,255,254,159,170,155
Test Block 3,254,253,255,140,180,168
Test Block 3,255,255,255,157,175,132
Test Block 3,255,255,255,173,169,142
Test Block 3,255,255,255,151,172,173
Test Block 3,253,255,255,154,162,134
Test Block 3,254,255,255,176,192,147
Test Block 3,253,255,255,150,195,153
Test Block 3,255,255,255,188,175,130
Test Block 3,254,255,255,156,167,165
Test Block 3,253,255,254,157,185,150
Test Block 3,254,254,254,179,184,132
Test Block 3,255,255,255,156,173,155
Test Block 3,255,254,255,164,177,154
Test Block 3,254,255,255,155,178,169
Test Block 3,255,255,255,154,176,139
Test Block 3,255,255,255,146,187,155
Test Block 3,255,255,255,184,178,155
Test Block 3,255,255,255,152,177,147
Test Block 3,255,255,255,168,197,141
Test Block 3,255,255,254,159,179,139
Test Block 3,255,255,255,151,169,135
Test Block 3,255,255,255,156,176,142
Test Block 3,254,255,255,168,191,156
Test Block 3,255,255,255,169,187,141
Test Block 3,255,255,255,177,164,147
Test Block 3,255,255,255,159,195,146
Test Block 3,255,255,255,159,185,162
Test Block 3,255,254,255,158,175,131
Test Block 3,255,255,255,152,174,132
Test Block 3,254,255,255,141,177,144
Test Block 3,255,255,255,155,176,146
Test Block 3,255,255,254,173,185,158
Test Block 3,255,255,255,153,195,130
Test Block 3,255,255,255,159,169,149
Test Block 3,255,255,255,161,192,152
Test Block 3,255,255,255,159,193,146
Test Block 3,255,255,255,178,175,152
Test Block 3,255,255,255,158,170,145
Test Block 3,255,254,255,167,186,141
Test Block 3,255,255,254,173,182,170
Test Block 3,255,255,255,153,162,154
Control Block,255,255,255,142,112,134
Control Block,255,252,255,128,114,137
Control Block,255,255,255,132,112,129
Control Block,255,255,255,136,115,135
Control Block,255,252,255,138,125,130
Control Block,255,254,255,130,115,129
Control Block,253,251,255,138,105,134
Control Block,254,254,255,136,113,122
Control Block,255,255,254,129,128,125
Control Block,255,255,255,123,104,130
Control Block,254,255,255,133,122,129
Control Block,255,253,255,129,119,128
Control Block,255,255,255,134,121,127
Control Block,255,255,255,137,117,131
Control Block,254,255,255,132,109,137
Control Block,253,255,255,132,119,141
Control Block,255,255,255,130,107,136
Control Block,255,255,255,125,122,127
Control Block,254,255,255,142,121,132
Control Block,255,255,255,139,121,129
Control Block,255,255,255,134,118,135
Control Block,255,255,255,128,118,133
Control Block,255,255,255,142,115,131
Control Block,255,255,255,136,114,131
Control Block,255,254,255,141,117,126
Control Block,255,255,255,122,125,128
Control Block,253,254,255,134,115,135
Control Block,255,254,255,141,124,121
Control Block,255,255,255,136,114,137
Control Block,255,255,255,128,115,136
Control Block,255,252,255,135,121,130
Control Block,253,255,255,140,108,144
Control Block,255,255,255,146,126,135
Control Block,255,255,255,128,122,134
Control Block,255,255,255,138,110,138
Control Block,255,255,255,130,118,132
Control Block,253,255,255,134,116,133
Control Block,255,255,255,129,125,139
Control Block,255,255,255,140,117,130
Control Block,255,255,255,130,114,132
Control Block,255,255,255,134,125,127
Control Block,255,255,255,133,121,139
Control Block,255,255,255,139,114,131
Control Block,254,255,255,141,125,125
Control Block,255,255,255,125,112,138
Control Block,253,255,255,139,113,131
Control Block,255,254,255,137,122,130
Control Block,255,255,255,141,116,127
Control Block,255,255,255,137,126,135
Control Block,255,254,255,135,123,130
Control Block,255,255,255,135,113,142
Control Block,254,255,255,130,117,133
Control Block,255,255,255,130,133,129
Control Block,253,254,255,129,119,136
Control Block,255,255,255,143,120,138
Control Block,254,255,255,133,127,134
Control Block,255,255,255,122,124,130
Control Block,255,255,255,138,115,134
Control Block,255,255,255,139,115,137
Control Block,254,255,255,137,110,123
Control Block,254,255,255,142,110,132
Control Block,255,254,255,130,112,130
Control Block,254,255,255,128,113,138
Control Block,254,254,255,132,115,128
Control Block,253,250,255,130,117,131
Control Block,253,255,255,124,121,134
Control Block,255,255,255,127,103,130
Control Block,255,254,255,131,109,136
Control Block,255,255,255,130,118,130
Control Block,255,254,255,133,117,138
Control Block,255,255,255,140,110,134
Control Block,255,255,255,132,122,134
Control Block,254,251,255,140,126,135
Control Block,254,255,255,134,118,134
Control Block,255,255,255,134,117,125
Control Block,255,255,255,145,116,134
Control Block,255,255,255,146,112,123
Control Block,255,252,255,134,119,128
Control Block,255,255,255,135,121,136
Control Block,255,255,255,132,121,128
