block_type,spot1_corr_r,spot1_corr_g,spot1_corr_b,spot2_corr_r,spot2_corr_g,spot2_corr_b
Test Block 1,255,255,255,255,255,253
Test Block 1,255,255,255,255,254,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,254,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,254,255
Test Block 1,255,255,255,253,255,255
Test Block 1,255,255,255,254,255,255
Test Block 1,255,255,255,255,253,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,255,253
Test Block 1,255,255,255,255,255,254
Test Block 1,255,255,255,255,255,253
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,255,254
Test Block 1,255,255,255,255,254,255
Test Block 1,255,255,255,255,255,254
Test Block 1,255,255,255,254,254,253
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,253,255
Test Block 1,255,255,255,255,254,254
Test Block 1,255,255,255,254,255,254
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,254,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,254,254,255
Test Block 1,255,255,255,255,255,254
Test Block 1,255,255,255,255,255,254
Test Block 1,255,255,255,255,254,254
Test Block 1,255,255,255,254,255,255
Test Block 1,255,255,255,253,253,255
Test Block 1,255,255,255,255,254,254
Test Block 1,255,255,255,255,254,255
Test Block 1,255,255,255,255,253,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,254,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,253,254
Test Block 1,255,255,255,255,253,255
Test Block 1,255,255,255,255,254,254
Test Block 1,255,255,255,254,254,255
Test Block 1,255,255,255,255,255,254
Test Block 1,255,255,255,255,254,254
Test Block 1,255,255,255,255,253,254
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,255,254
Test Block 1,255,255,255,255,255,254
Test Block 1,255,255,255,255,255,253
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,254,255,254
Test Block 1,255,255,255,253,255,255
Test Block 1,255,255,255,255,254,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,255,254
Test Block 1,255,255,255,254,255,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,254,255
Test Block 1,255,255,255,254,255,255
Test Block 1,255,255,255,253,255,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,254,255
Test Block 1,255,255,255,255,254,253
Test Block 1,255,255,255,255,254,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,254,255
Test Block 1,255,255,255,255,255,255
Test Block 1,255,255,255,255,255,254
Test Block 1,255,255,255,255,255,254
Test Block 1,255,255,255,254,252,255
Test Block 2,255,253,253,255,255,253
Test Block 2,250,251,251,252,255,255
Test Block 2,250,251,255,255,255,255
Test Block 2,253,250,254,254,251,254
Test Block 2,250,255,253,255,255,252
Test Block 2,254,254,254,251,255,255
Test Block 2,254,253,254,251,254,255
Test Block 2,255,255,254,255,255,255
Test Block 2,251,255,254,251,253,255
Test Block 2,255,254,255,252,253,255
Test Block 2,252,252,249,249,248,255
Test Block 2,252,255,255,255,255,251
Test Block 2,254,255,254,245,251,255
Test Block 2,253,252,248,255,255,254
Test Block 2,255,249,252,253,255,255
Test Block 2,253,255,251,255,251,253
Test Block 2,255,250,254,251,255,255
Test Block 2,253,252,252,255,255,255
Test Block 2,255,251,255,253,255,255
Test Block 2,251,255,251,255,255,249
Test Block 2,252,254,249,255,253,255
Test Block 2,255,254,253,253,255,243
Test Block 2,255,255,255,249,254,255
Test Block 2,248,255,251,255,255,255
Test Block 2,255,254,249,255,255,255
Test Block 2,253,253,251,250,255,253
Test Block 2,252,253,251,253,255,251
Test Block 2,252,251,255,252,253,255
Test Block 2,254,253,255,251,254,255
Test Block 2,251,249,255,252,254,255
Test Block 2,254,255,255,251,253,250
Test Block 2,252,253,253,255,255,255
Test Block 2,252,251,255,251,255,255
Test Block 2,255,254,253,250,255,255
Test Block 2,255,252,254,249,254,255
Test Block 2,252,253,252,255,255,253
Test Block 2,255,251,255,255,255,255
Test Block 2,252,255,255,255,255,255
Test Block 2,253,248,253,249,255,255
Test Block 2,251,255,255,248,251,250
Test Block 2,253,253,252,252,244,250
Test Block 2,248,253,253,255,255,254
Test Block 2,251,254,253,255,255,255
Test Block 2,252,253,251,255,255,255
Test Block 2,249,255,252,241,249,254
Test Block 2,255,253,255,255,255,252
Test Block 2,254,251,255,250,255,255
Test Block 2,255,253,255,252,254,248
Test Block 2,253,255,254,251,247,252
Test Block 2,254,255,250,255,255,249
Test Block 2,253,252,250,255,250,253
Test Block 2,254,254,255,245,255,251
Test Block 2,249,255,246,255,254,253
Test Block 2,253,254,255,249,251,255
Test Block 2,249,254,252,244,254,250
Test Block 2,253,255,251,253,255,254
Test Block 2,253,254,255,251,246,255
Test Block 2,255,252,255,255,255,255
Test Block 2,255,250,254,248,248,249
Test Block 2,252,253,251,255,253,255
Test Block 2,254,252,251,251,254,255
Test Block 2,251,252,251,255,255,255
Test Block 2,255,255,253,254,251,255
Test Block 2,254,255,255,255,255,255
Test Block 2,255,253,255,253,255,255
Test Block 2,255,255,255,255,255,250
Test Block 2,254,253,253,253,255,254
Test Block 2,255,253,253,254,253,255
Test Block 2,254,251,255,253,249,253
Test Block 2,251,254,252,254,255,255
Test Block 2,254,251,250,252,250,255
Test Block 2,254,253,251,255,251,255
Test Block 2,255,251,255,248,255,255
Test Block 2,255,255,255,255,249,250
Test Block 2,254,253,255,255,255,251
Test Block 2,255,251,251,253,255,254
Test Block 2,251,254,252,255,252,253
Test Block 2,251,249,254,255,243,255
Test Block 2,255,255,251,251,255,250
Test Block 2,254,252,252,248,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,254,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,253,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,254,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Test Block 3,255,255,255,255,255,255
Control Block,255,253,250,145,114,113
Control Block,255,253,255,132,134,122
Control Block,255,255,255,129,124,135
Control Block,255,253,255,130,124,124
Control Block,255,255,255,140,108,125
Control Block,255,252,255,128,125,120
Control Block,255,255,255,116,116,137
Control Block,253,254,255,130,113,133
Control Block,255,255,255,133,115,116
Control Block,254,254,255,128,114,125
Control Block,255,252,255,129,116,139
Control Block,255,255,255,126,119,125
Control Block,254,255,255,123,115,134
Control Block,255,255,255,137,105,119
Control Block,255,255,255,146,118,132
Control Block,255,255,255,134,123,132
Control Block,255,255,255,131,115,135
Control Block,252,255,252,129,116,128
Control Block,252,252,252,134,108,128
Control Block,255,255,255,133,116,134
Control Block,253,253,255,137,113,138
Control Block,255,255,255,130,102,132
Control Block,255,252,255,119,113,127
Control Block,255,255,255,125,105,118
Control Block,255,253,255,129,118,139
Control Block,255,255,255,135,113,131
Control Block,253,255,250,130,100,114
Control Block,255,255,255,135,113,120
Control Block,253,255,254,141,113,140
Control Block,255,255,252,138,123,123
Control Block,255,255,255,136,109,129
Control Block,255,254,255,141,104,131
Control Block,253,255,255,130,107,133
Control Block,254,255,254,138,102,125
Control Block,255,254,253,132,118,137
Control Block,254,255,252,119,108,146
Control Block,254,251,255,139,107,131
Control Block,255,255,255,134,111,137
Control Block,255,255,255,127,124,128
Control Block,255,255,255,131,113,136
Control Block,255,255,255,135,113,128
Control Block,255,255,255,120,110,123
Control Block,255,255,255,126,118,128
Control Block,254,255,255,136,103,128
Control Block,255,254,254,129,116,137
Control Block,255,255,255,136,117,131
Control Block,255,255,255,138,109,131
Control Block,255,255,255,114,105,127
Control Block,255,254,255,131,113,132
Control Block,253,253,255,128,112,128
Control Block,255,252,255,124,107,131
Control Block,255,253,251,136,121,123
Control Block,255,254,255,130,114,134
Control Block,255,255,255,128,120,127
Control Block,255,255,255,121,106,117
Control Block,255,255,255,144,117,126
Control Block,255,253,255,127,117,127
Control Block,255,255,255,140,100,132
Control Block,255,249,255,130,104,128
Control Block,255,255,255,129,118,136
Control Block,254,255,252,140,123,141
Control Block,255,255,255,131,114,129
Control Block,255,254,255,131,121,130
Control Block,255,255,255,127,119,121
Control Block,253,255,255,143,118,140
Control Block,254,255,255,126,103,117
Control Block,255,254,255,145,117,135
Control Block,250,254,255,132,118,125
Control Block,255,255,255,126,132,129
Control Block,255,255,255,125,110,130
Control Block,255,255,255,133,111,129
Control Block,255,255,255,134,104,129
Control Block,255,253,255,138,111,132
Control Block,255,253,253,139,115,130
Control Block,255,255,252,133,125,134
Control Block,255,255,255,143,122,144
Control Block,255,255,255,122,122,120
Control Block,255,253,255,125,101,113
Control Block,255,255,255,135,117,137
Control Block,255,255,251,113,119,135
