block_type,spot1_corr_r,spot1_corr_g,spot1_corr_b,spot2_corr_r,spot2_corr_g,spot2_corr_b
Test Block 1,254,252,255,189,171,255
Test Block 1,255,251,255,185,180,239
Test Block 1,255,255,255,178,188,225
Test Block 1,255,255,255,181,179,234
Test Block 1,255,254,255,159,181,255
Test Block 1,254,255,255,173,170,229
Test Block 1,252,255,254,178,164,236
Test Block 1,252,255,255,191,160,232
Test Block 1,252,255,255,195,186,223
Test Block 1,255,255,255,182,189,242
Test Block 1,255,255,253,164,187,232
Test Block 1,255,255,254,165,180,223
Test Block 1,254,254,255,174,195,217
Test Block 1,255,254,255,174,170,251
Test Block 1,255,252,255,184,179,233
Test Block 1,255,255,255,194,178,233
Test Block 1,255,254,255,177,180,237
Test Block 1,255,255,255,179,185,236
Test Block 1,255,255,253,186,161,233
Test Block 1,255,255,255,171,161,255
Test Block 1,255,255,253,180,176,225
Test Block 1,255,255,255,195,179,238
Test Block 1,255,255,254,183,194,233
Test Block 1,255,255,254,195,165,253
Test Block 1,255,255,251,176,196,232
Test Block 1,254,253,255,179,177,238
Test Block 1,255,255,255,188,170,249
Test Block 1,255,255,255,169,175,255
Test Block 1,255,255,255,190,177,234
Test Block 1,254,255,255,179,165,250
Test Block 1,251,255,251,171,171,244
Test Block 1,255,255,251,180,177,255
Test Block 1,255,252,255,194,165,242
Test Block 1,255,250,255,173,181,233
Test Block 1,253,255,255,164,156,235
Test Block 1,255,255,255,190,179,245
Test Block 1,255,255,255,183,187,243
Test Block 1,254,255,255,185,166,216
Test Block 1,255,255,255,195,177,228
Test Block 1,255,253,255,181,187,255
Test Block 1,253,253,255,187,188,239
Test Block 1,255,253,255,187,189,244
Test Block 1,255,255,254,179,180,242
Test Block 1,255,254,255,171,173,254
Test Block 1,255,255,255,190,181,252
Test Block 1,255,255,255,177,177,227
Test Block 1,253,255,255,164,147,244
Test Block 1,255,255,255,173,186,233
Test Block 1,255,255,255,183,175,242
Test Block 1,255,255,255,178,175,254
Test Block 1,255,255,255,189,186,239
Test Block 1,255,255,255,196,160,220
Test Block 1,255,255,255,179,173,244
Test Block 1,254,255,254,174,176,245
Test Block 1,255,254,255,202,191,238
Test Block 1,252,253,250,176,187,242
Test Block 1,255,252,255,170,161,252
Test Block 1,255,255,253,171,166,255
Test Block 1,255,255,254,159,179,255
Test Block 1,255,255,255,180,164,233
Test Block 1,253,255,255,191,173,227
Test Block 1,255,255,255,186,176,230
Test Block 1,252,254,255,172,177,244
Test Block 1,252,255,252,183,177,219
Test Block 1,255,255,255,185,180,242
Test Block 1,255,255,255,190,176,235
Test Block 1,254,255,255,177,185,247
Test Block 1,255,255,255,157,190,232
Test Block 1,255,254,255,166,179,226
Test Block 1,255,255,255,154,166,236
Test Block 1,253,255,255,166,169,235
Test Block 1,251,255,255,188,161,250
Test Block 1,255,255,255,175,182,237
Test Block 1,252,254,255,160,188,230
Test Block 1,255,255,255,176,193,239
Test Block 1,253,252,252,200,183,249
Test Block 1,255,254,255,177,162,239
Test Block 1,251,254,254,190,170,224
Test Block 1,254,254,255,168,166,243
Test Block 1,255,255,255,198,169,225
Test Block 2,143,163,189,124,145,143
Test Block 2,136,155,187,132,118,128
Test Block 2,124,161,192,143,129,135
Test Block 2,135,160,190,125,105,135
Test Block 2,138,162,189,131,114,127
Test Block 2,144,155,195,134,115,139
Test Block 2,130,161,191,122,109,143
Test Block 2,136,157,195,144,120,133
Test Block 2,133,160,202,141,121,137
Test Block 2,131,163,184,138,105,127
Test Block 2,134,159,194,115,110,124
Test Block 2,129,159,196,145,104,136
Test Block 2,136,165,196,129,128,140
Test Block 2,133,163,198,135,124,151
Test Block 2,131,156,188,140,106,121
Test Block 2,134,161,182,132,132,127
Test Block 2,131,161,196,128,112,139
Test Block 2,131,159,197,130,129,140
Test Block 2,131,161,201,118,104,133
Test Block 2,132,158,189,123,120,136
Test Block 2,136,156,192,147,119,146
Test Block 2,129,159,206,131,112,126
Test Block 2,133,160,195,135,100,144
Test Block 2,137,156,207,143,117,119
Test Block 2,135,155,204,129,104,107
Test Block 2,133,161,208,119,121,127
Test Block 2,136,158,188,135,93,128
Test Block 2,134,157,204,138,118,148
Test Block 2,134,158,198,142,114,138
Test Block 2,133,161,186,128,130,133
Test Block 2,130,164,193,132,87,133
Test Block 2,136,159,204,132,130,134
Test Block 2,132,159,190,119,116,130
Test Block 2,132,160,190,130,110,135
Test Block 2,136,159,188,126,124,144
Test Block 2,134,158,199,130,97,123
Test Block 2,131,157,201,138,139,121
Test Block 2,137,155,198,123,121,114
Test Block 2,136,158,197,118,112,140
Test Block 2,133,158,191,136,105,155
Test Block 2,127,160,194,125,109,128
Test Block 2,137,160,203,125,116,144
Test Block 2,136,162,190,133,103,123
Test Block 2,131,166,189,130,111,152
Test Block 2,136,162,190,145,126,139
Test Block 2,136,159,194,148,121,131
Test Block 2,134,156,200,130,133,146
Test Block 2,133,162,201,160,130,147
Test Block 2,134,160,201,121,132,125
Test Block 2,133,152,199,135,112,144
Test Block 2,136,156,194,106,120,144
Test Block 2,126,160,198,146,107,136
Test Block 2,129,157,197,134,113,131
Test Block 2,127,160,189,147,105,146
Test Block 2,135,153,204,137,132,143
Test Block 2,135,152,201,142,122,152
Test Block 2,132,158,191,138,127,144
Test Block 2,141,162,200,130,118,126
Test Block 2,137,158,187,121,126,124
Test Block 2,136,158,201,131,135,124
Test Block 2,129,158,198,103,113,120
Test Block 2,133,159,204,130,112,135
Test Block 2,141,159,191,125,129,115
Test Block 2,140,162,199,148,112,141
Test Block 2,133,161,195,143,109,129
Test Block 2,131,159,197,124,111,145
Test Block 2,133,154,186,127,113,133
Test Block 2,130,158,194,124,120,132
Test Block 2,139,163,186,132,101,122
Test Block 2,134,162,192,126,123,141
Test Block 2,131,165,198,131,110,139
Test Block 2,133,160,185,143,100,144
Test Block 2,134,155,194,133,109,130
Test Block 2,131,159,199,157,109,126
Test Block 2,135,157,200,118,107,140
Test Block 2,135,157,197,133,99,133
Test Block 2,133,160,187,143,123,143
Test Block 2,133,159,195,133,111,131
Test Block 2,134,158,176,146,121,141
Test Block 2,131,156,196,133,124,137
Test Block 3,208,153,162,253,255,255
Test Block 3,208,155,154,255,255,255
Test Block 3,210,153,156,254,253,255
Test Block 3,207,157,156,255,255,255
Test Block 3,212,153,157,254,255,255
Test Block 3,206,149,159,250,255,255
Test Block 3,208,156,158,252,255,254
Test Block 3,209,151,164,254,253,255
Test Block 3,210,156,155,255,255,255
Test Block 3,205,151,160,254,255,255
Test Block 3,208,151,163,254,255,255
Test Block 3,205,156,156,252,254,255
Test Block 3,209,151,156,255,255,255
Test Block 3,212,151,163,255,255,255
Test Block 3,205,153,164,255,255,255
Test Block 3,215,151,158,255,255,255
Test Block 3,208,148,160,251,255,255
Test Block 3,209,152,154,250,255,255
Test Block 3,201,153,161,255,254,255
Test Block 3,212,152,158,252,254,255
Test Block 3,211,152,160,253,255,255
Test Block 3,209,149,158,251,255,255
Test Block 3,206,155,162,253,255,255
Test Block 3,206,153,161,255,255,255
Test Block 3,208,151,155,255,255,255
Test Block 3,206,150,157,255,255,255
Test Block 3,209,151,162,254,255,255
Test Block 3,210,155,157,250,255,255
Test Block 3,207,154,160,255,255,255
Test Block 3,211,153,164,253,255,255
Test Block 3,204,154,159,253,255,255
Test Block 3,204,151,163,255,255,255
Test Block 3,206,154,159,255,255,255
Test Block 3,212,157,156,255,255,255
Test Block 3,208,152,166,253,255,255
Test Block 3,207,153,158,255,255,255
Test Block 3,210,151,156,252,255,255
Test Block 3,205,153,159,253,255,255
Test Block 3,209,156,165,253,255,255
Test Block 3,208,154,166,255,255,255
Test Block 3,202,151,157,255,255,254
Test Block 3,200,156,162,255,254,255
Test Block 3,205,148,159,255,253,255
Test Block 3,206,151,160,255,254,255
Test Block 3,203,150,161,255,255,255
Test Block 3,209,155,158,254,250,255
Test Block 3,206,156,159,254,253,255
Test Block 3,209,156,155,252,255,255
Test Block 3,204,152,158,254,255,255
Test Block 3,206,155,157,252,254,255
