block_type,spot1_corr_r,spot1_corr_g,spot1_corr_b,spot2_corr_r,spot2_corr_g,spot2_corr_b
Test Block 1,156,159,242,225,162,162
Test Block 1,147,143,236,203,159,181
Test Block 1,147,167,235,204,157,174
Test Block 1,159,153,233,195,160,171
Test Block 1,141,149,234,203,169,165
Test Block 1,147,154,233,223,155,155
Test Block 1,168,138,234,210,162,168
Test Block 1,147,140,230,205,185,180
Test Block 1,163,147,233,203,183,170
Test Block 1,161,155,230,230,160,156
Test Block 1,154,135,231,219,174,156
Test Block 1,159,149,230,199,166,157
Test Block 1,156,144,233,195,150,174
Test Block 1,163,155,234,224,177,150
Test Block 1,144,147,231,191,153,188
Test Block 1,158,135,233,215,169,162
Test Block 1,137,159,236,222,195,172
Test Block 1,165,163,233,210,174,165
Test Block 1,158,141,234,212,160,165
Test Block 1,158,161,233,202,147,162
Test Block 1,163,151,233,202,175,170
Test Block 1,160,125,235,226,149,174
Test Block 1,150,136,235,224,151,163
Test Block 1,150,142,236,210,152,170
Test Block 1,147,149,240,187,147,159
Test Block 1,155,157,231,201,171,169
Test Block 1,182,142,232,212,164,159
Test Block 1,161,154,236,219,157,175
Test Block 1,137,140,237,204,169,153
Test Block 1,138,134,236,198,177,174
Test Block 1,169,162,237,210,168,170
Test Block 1,156,152,237,221,170,172
Test Block 1,146,157,236,219,165,158
Test Block 1,168,161,235,226,169,170
Test Block 1,119,151,234,209,161,165
Test Block 1,156,148,231,218,169,155
Test Block 1,159,138,228,226,173,169
Test Block 1,149,153,231,223,158,174
Test Block 1,153,139,233,217,181,152
Test Block 1,161,127,230,203,160,166
Test Block 1,146,136,230,199,156,182
Test Block 1,172,161,231,209,184,170
Test Block 1,142,149,234,203,159,176
Test Block 1,152,143,231,209,159,165
Test Block 1,148,146,231,209,167,170
Test Block 1,158,135,236,204,159,166
Test Block 1,166,151,235,195,172,156
Test Block 1,150,140,236,215,163,164
Test Block 1,164,137,229,206,174,176
Test Block 1,162,147,235,205,179,166
Test Block 1,139,158,237,219,174,174
Test Block 1,153,151,233,191,171,164
Test Block 1,182,161,234,212,176,171
Test Block 1,143,148,237,208,169,170
Test Block 1,144,141,230,211,175,183
Test Block 1,152,147,229,213,168,165
Test Block 1,149,146,227,204,169,182
Test Block 1,155,175,237,218,170,182
Test Block 1,153,140,239,207,198,159
Test Block 1,163,181,236,202,168,171
Test Block 1,153,147,232,209,164,168
Test Block 1,149,150,237,207,174,162
Test Block 1,156,156,236,204,152,171
Test Block 1,169,132,234,195,162,177
Test Block 1,167,145,235,219,149,147
Test Block 1,156,133,233,207,162,170
Test Block 1,162,133,230,225,169,187
Test Block 1,145,156,233,207,168,154
Test Block 1,165,140,235,226,155,176
Test Block 1,154,144,232,207,165,170
Test Block 1,174,151,234,207,161,170
Test Block 1,151,143,237,204,168,163
Test Block 1,162,140,238,201,169,149
Test Block 1,160,156,231,224,152,165
Test Block 1,161,146,238,210,155,167
Test Block 1,175,141,228,219,167,176
Test Block 1,155,152,231,223,163,153
Test Block 1,169,155,233,212,169,170
Test Block 1,159,145,235,211,159,164
Test Block 1,148,150,236,229,155,176
Test Block 2,251,255,255,252,250,255
Test Block 2,252,246,253,246,249,255
Test Block 2,253,248,254,252,255,255
Test Block 2,255,255,255,255,255,254
Test Block 2,249,255,255,251,255,255
Test Block 2,253,252,254,254,249,252
Test Block 2,250,252,253,251,247,255
Test Block 2,251,251,251,251,255,255
Test Block 2,251,255,253,242,252,254
Test Block 2,253,252,253,252,255,255
Test Block 2,254,254,255,252,253,255
Test Block 2,255,255,255,251,255,249
Test Block 2,255,250,253,251,255,255
Test Block 2,255,252,252,250,255,254
Test Block 2,255,251,251,255,251,255
Test Block 2,255,255,250,250,246,255
Test Block 2,255,254,251,255,255,250
Test Block 2,250,248,254,243,255,251
Test Block 2,253,255,255,252,249,255
Test Block 2,251,253,254,255,254,255
Test Block 2,251,252,255,253,254,255
Test Block 2,252,253,253,244,249,254
