block_type,spot1_corr_r,spot1_corr_g,spot1_corr_b,spot2_corr_r,spot2_corr_g,spot2_corr_b
Test Block 1,253,253,254,192,183,255
Test Block 1,255,255,255,195,199,235
Test Block 1,255,255,255,188,197,248
Test Block 1,254,254,255,184,187,240
Test Block 1,254,252,255,211,186,246
Test Block 1,250,255,254,185,177,226
Test Block 1,255,253,255,203,188,252
Test Block 1,255,253,253,192,206,242
Test Block 1,253,254,254,194,178,255
Test Block 1,254,255,253,201,201,244
Test Block 1,254,255,255,183,198,249
Test Block 1,255,255,255,199,179,242
Test Block 1,254,252,255,178,193,250
Test Block 1,255,255,255,182,169,230
Test Block 1,252,255,255,184,186,252
Test Block 1,255,255,254,187,188,243
Test Block 1,253,254,255,192,181,234
Test Block 1,254,253,253,194,184,240
Test Block 1,255,255,253,197,191,234
Test Block 1,252,255,255,204,186,238
Test Block 1,254,254,255,183,171,255
Test Block 1,255,249,255,181,194,252
Test Block 1,255,254,253,192,209,236
Test Block 1,253,254,251,181,175,247
Test Block 1,255,254,254,183,204,255
Test Block 1,252,255,253,169,164,247
Test Block 1,252,252,255,195,195,241
Test Block 1,252,251,255,192,193,226
Test Block 1,255,254,255,197,183,245
Test Block 1,253,254,255,177,181,246
Test Block 1,255,253,255,175,190,255
Test Block 1,255,255,255,199,167,249
Test Block 1,255,255,255,183,174,247
Test Block 1,255,254,254,194,188,242
Test Block 1,255,255,255,196,182,255
Test Block 1,255,254,255,204,200,229
Test Block 1,254,253,254,195,180,231
Test Block 1,252,254,255,193,193,238
Test Block 1,253,255,254,179,175,243
Test Block 1,254,250,254,181,185,240
Test Block 1,252,253,255,172,199,253
Test Block 1,255,253,255,186,199,242
Test Block 1,255,255,255,199,185,233
Test Block 1,254,252,253,184,180,255
Test Block 1,254,254,254,191,208,243
Test Block 1,254,253,255,201,181,246
Test Block 1,254,252,255,187,196,238
Test Block 1,255,255,255,188,188,255
Test Block 1,255,255,254,194,180,255
Test Block 1,254,255,254,191,191,241
Test Block 1,255,255,255,204,176,255
Test Block 1,255,254,254,199,172,239
Test Block 1,255,253,254,194,167,253
Test Block 1,253,253,255,193,198,255
Test Block 1,254,255,255,186,175,213
Test Block 1,254,255,253,192,191,253
Test Block 1,255,254,251,178,185,238
Test Block 1,255,255,255,182,186,228
Test Block 1,251,255,255,176,188,245
Test Block 1,253,255,254,199,191,245
Test Block 1,254,255,255,197,194,246
Test Block 1,254,255,255,202,187,237
Test Block 1,253,255,254,193,191,246
Test Block 1,255,255,255,176,197,248
Test Block 1,255,255,255,182,176,242
Test Block 1,255,255,253,201,193,250
Test Block 1,254,250,255,205,197,246
Test Block 1,255,252,254,189,172,237
Test Block 1,254,253,253,198,203,255
Test Block 1,253,255,255,180,188,241
Test Block 1,255,254,255,203,171,252
Test Block 1,254,254,255,179,201,227
Test Block 1,254,252,255,166,195,255
Test Block 1,251,254,255,207,177,255
Test Block 1,253,251,255,200,187,253
Test Block 1,253,253,252,170,195,244
