block_type,spot1_corr_r,spot1_corr_g,spot1_corr_b,spot2_corr_r,spot2_corr_g,spot2_corr_b
Test Block 1,252,253,252,144,162,189
Test Block 1,253,252,252,135,153,198
Test Block 1,253,252,255,147,158,193
Test Block 1,255,255,254,135,153,192
Test Block 1,253,255,253,147,159,188
Test Block 1,255,252,253,140,159,196
Test Block 1,252,254,252,142,160,197
Test Block 1,253,252,253,139,155,195
Test Block 1,253,252,251,132,160,192
Test Block 1,254,253,255,141,162,201
Test Block 1,254,254,255,136,157,195
Test Block 1,251,254,253,141,161,193
Test Block 1,252,253,252,137,161,191
Test Block 1,254,250,251,136,157,195
Test Block 1,251,252,254,140,163,206
Test Block 1,253,253,255,138,164,195
Test Block 1,253,252,251,133,161,197
Test Block 1,251,254,254,144,163,196
Test Block 1,254,255,253,147,155,203
Test Block 1,251,255,254,139,161,183
Test Block 1,255,253,249,135,159,189
Test Block 1,252,254,253,132,159,197
Test Block 1,253,254,254,143,157,194
Test Block 1,254,253,254,134,162,202
Test Block 1,254,253,253,141,160,197
Test Block 1,255,255,254,139,163,197
Test Block 1,254,255,254,142,161,185
Test Block 1,254,252,251,138,159,206
Test Block 1,253,255,255,136,163,199
Test Block 1,255,253,251,139,157,194
Test Block 1,251,254,255,140,166,185
Test Block 1,252,255,255,134,163,204
Test Block 1,253,255,253,139,153,189
Test Block 1,251,252,254,136,160,199
Test Block 1,252,250,252,139,158,190
Test Block 1,255,254,254,138,160,199
Test Block 1,253,251,254,143,159,194
Test Block 1,252,254,254,136,155,202
Test Block 1,252,255,255,136,160,194
Test Block 1,254,255,253,132,156,191
Test Block 1,252,252,253,137,154,195
Test Block 1,250,255,253,142,159,191
Test Block 1,255,255,252,135,156,198
Test Block 1,253,255,253,147,160,190
Test Block 1,254,255,253,140,156,202
Test Block 1,254,255,252,138,160,193
Test Block 1,254,251,255,127,159,188
Test Block 1,252,254,251,137,156,196
Test Block 1,253,253,253,142,163,188
Test Block 1,253,254,255,143,162,198
Test Block 1,249,253,254,142,163,192
Test Block 1,254,253,255,146,152,199
Test Block 1,255,253,255,145,158,196
Test Block 1,252,253,253,143,157,195
Test Block 1,252,254,254,132,159,188
Test Block 1,253,251,253,137,157,193
Test Block 1,252,252,255,134,162,195
Test Block 1,255,254,252,146,158,191
Test Block 1,255,253,254,139,153,203
Test Block 1,254,251,249,138,157,192
Test Block 1,253,252,252,137,158,186
Test Block 1,255,255,253,138,166,197
Test Block 1,255,250,255,139,157,195
Test Block 1,255,254,255,135,160,192
Test Block 1,254,255,254,141,161,193
Test Block 1,253,252,254,137,157,198
Test Block 1,254,253,250,141,161,199
Test Block 1,255,255,255,137,160,189
Test Block 1,255,255,253,140,161,202
Test Block 1,251,255,255,140,160,194
Test Block 1,251,252,253,131,164,185
Test Block 1,254,251,255,135,160,194
Test Block 1,253,255,250,140,159,193
Test Block 1,254,251,255,129,157,192
Test Block 1,255,253,255,147,166,201
Test Block 1,253,253,251,141,163,192
Test Block 1,253,253,255,138,163,196
Test Block 1,255,253,252,133,157,179
Test Block 1,252,253,254,147,159,202
Test Block 1,255,253,249,136,168,195
Test Block 2,127,158,192,125,118,142
Test Block 2,140,159,187,128,100,120
Test Block 2,136,156,195,126,114,119
Test Block 2,135,154,189,126,98,122
Test Block 2,136,157,189,137,113,138
Test Block 2,135,150,189,132,114,121
Test Block 2,134,157,201,134,117,134
Test Block 2,128,161,203,144,113,130
Test Block 2,132,151,189,134,122,127
Test Block 2,131,159,188,134,102,119
Test Block 2,138,153,189,122,122,135
Test Block 2,136,156,195,121,131,119
Test Block 2,132,154,192,138,102,123
Test Block 2,137,150,187,131,117,136
Test Block 2,139,157,193,117,118,124
Test Block 2,131,156,196,131,129,124
Test Block 2,132,151,191,126,107,138
Test Block 2,134,148,195,115,113,130
Test Block 2,136,155,194,134,124,94
Test Block 2,130,155,187,125,126,112
Test Block 2,132,158,202,119,117,130
Test Block 2,136,158,197,127,113,132
Test Block 2,130,153,188,109,122,132
Test Block 2,134,166,191,140,129,132
Test Block 2,138,154,189,129,112,127
Test Block 2,132,161,192,131,130,144
Test Block 2,130,157,189,136,117,138
Test Block 2,133,147,191,132,121,131
Test Block 2,137,155,190,124,122,138
Test Block 2,131,159,187,121,116,127
Test Block 2,133,151,193,138,114,142
Test Block 2,131,157,195,126,115,126
Test Block 2,132,154,191,124,119,134
Test Block 2,129,165,185,128,111,135
Test Block 2,133,154,197,117,124,136
Test Block 2,138,158,190,140,109,122
Test Block 2,132,152,199,130,122,125
Test Block 2,134,163,188,131,113,129
Test Block 2,131,154,192,128,121,135
Test Block 2,137,157,185,137,121,123
Test Block 2,134,157,194,133,111,148
Test Block 2,138,157,195,132,123,124
Test Block 2,135,153,192,128,102,136
Test Block 2,134,151,193,123,114,128
Test Block 2,139,150,188,121,117,120
Test Block 2,135,154,191,147,103,143
Test Block 2,132,151,189,131,121,150
Test Block 2,139,156,188,136,112,129
Test Block 2,143,151,190,139,98,130
Test Block 2,131,162,190,135,120,137
Test Block 2,133,151,199,112,112,123
Test Block 2,133,161,184,126,112,116
Test Block 2,136,149,190,130,117,131
Test Block 2,132,158,193,140,118,119
Test Block 2,138,153,194,142,112,142
Test Block 2,135,152,194,150,108,128
Test Block 2,137,153,185,142,115,129
Test Block 2,131,157,190,141,124,128
Test Block 2,131,154,198,127,114,132
Test Block 2,137,158,194,139,118,118
Test Block 2,137,154,191,141,107,122
Test Block 2,134,153,195,142,104,140
Test Block 2,131,154,192,133,117,150
Test Block 2,137,156,188,130,106,129
Test Block 2,136,160,187,136,125,131
Test Block 2,132,155,185,126,115,137
Test Block 2,133,159,188,124,123,131
Test Block 2,130,162,194,132,116,130
Test Block 2,140,153,193,119,102,127
Test Block 2,131,155,199,137,110,135
Test Block 2,129,154,193,129,101,130
Test Block 2,140,160,194,139,122,130
Test Block 2,138,152,194,161,97,138
Test Block 2,135,159,188,118,110,131
Test Block 2,133,166,200,144,119,122
