class,Test Block 1_spot1_r,Test Block 1_spot1_g,Test Block 1_spot1_b,Test Block 1_spot2_r,Test Block 1_spot2_g,Test Block 1_spot2_b,Test Block 2_spot1_r,Test Block 2_spot1_g,Test Block 2_spot1_b,Test Block 2_spot2_r,Test Block 2_spot2_g,Test Block 2_spot2_b,Test Block 3_spot1_r,Test Block 3_spot1_g,Test Block 3_spot1_b,Test Block 3_spot2_r,Test Block 3_spot2_g,Test Block 3_spot2_b,Control Block_spot1_r,Control Block_spot1_g,Control Block_spot1_b,Control Block_spot2_r,Control Block_spot2_g,Control Block_spot2_b
0,5,0,0,80,84,5,129,131,114,8,0,6,4,0,0,99,80,109,0,1,0,142,150,123
0,0,9,2,77,31,16,112,143,122,8,0,2,8,2,0,103,88,126,1,3,5,111,130,117
0,5,9,0,69,14,29,130,140,106,1,0,8,0,0,5,65,81,87,0,0,0,118,129,123
0,4,0,0,19,36,30,126,131,127,5,0,0,0,0,0,65,57,105,0,0,0,111,139,140
0,0,0,11,88,66,27,108,145,121,0,0,1,0,0,0,90,61,124,0,0,0,108,141,134
0,0,0,0,79,38,15,119,130,127,0,0,0,4,0,0,102,66,106,0,0,0,131,162,111
0,0,0,3,59,34,15,110,147,126,1,0,3,0,0,0,69,83,107,2,0,0,131,138,136
0,0,0,0,63,74,2,123,143,142,0,1,0,0,0,7,86,61,103,0,0,0,126,120,123
0,0,0,5,47,94,39,127,142,122,0,0,0,0,1,3,61,66,132,3,3,0,101,150,130
0,0,0,12,47,82,15,111,138,137,0,15,1,0,0,1,94,64,131,5,0,0,129,130,129
0,0,7,0,78,28,43,105,143,131,0,0,0,0,0,1,121,85,119,0,4,0,121,142,110
0,8,0,0,94,63,31,117,139,129,1,0,3,0,0,0,88,82,82,0,0,0,121,130,134
0,6,6,6,20,61,0,123,140,134,0,8,1,0,0,2,60,91,101,0,0,0,115,135,115
0,13,1,0,63,70,28,135,145,108,3,0,8,0,0,0,110,92,109,0,3,0,119,152,110
0,4,4,0,51,38,40,130,144,134,0,7,0,5,0,0,103,78,116,0,3,0,117,129,115
0,14,1,0,53,61,14,123,118,145,0,0,10,0,2,0,59,81,98,0,0,0,118,135,119
0,6,0,10,38,63,32,120,144,125,0,2,0,4,0,3,136,90,125,0,6,0,110,137,125
0,0,0,5,43,42,22,118,155,140,4,4,0,0,0,0,88,112,109,2,6,0,122,124,142
0,0,0,0,50,70,14,126,130,122,1,0,0,0,0,0,67,62,109,3,0,4,124,140,124
0,3,0,0,49,92,14,135,139,151,0,5,0,0,0,0,117,104,110,0,0,0,125,118,116
0,0,0,0,46,32,1,126,146,124,0,11,7,3,0,0,123,88,116,4,0,0,130,140,119
0,1,0,1,58,65,5,117,125,117,3,0,3,0,0,0,68,43,80,3,7,3,123,135,124
0,4,0,0,70,93,0,120,127,126,0,0,5,6,3,0,128,97,132,0,1,2,118,112,115
0,0,0,6,28,68,22,129,125,113,2,7,0,0,0,0,143,74,98,0,0,0,124,162,133
0,6,3,1,34,57,0,133,149,123,8,4,6,1,0,2,91,33,106,0,0,3,129,116,116
0,0,0,3,37,66,22,131,121,119,4,3,4,5,0,0,52,87,82,0,4,5,143,147,133
0,0,7,2,52,60,56,108,145,124,0,0,5,0,0,2,105,72,78,2,0,0,132,129,137
0,0,5,0,67,64,8,132,145,111,0,0,0,0,0,2,91,95,114,3,0,0,106,148,114
0,0,11,0,67,46,0,116,138,123,0,10,0,1,2,3,75,111,120,2,4,3,140,149,136
0,2,0,3,73,76,0,121,138,114,8,4,0,0,0,0,114,77,71,0,0,0,110,155,132
0,0,2,7,64,93,10,128,156,145,0,6,0,1,2,0,107,63,134,1,3,0,103,143,132
0,3,0,1,75,12,10,124,130,121,2,3,4,4,1,0,125,28,97,3,5,0,138,135,122
0,0,0,7,93,67,0,121,130,128,10,0,0,0,0,0,89,61,130,5,0,0,132,146,116
0,3,0,0,43,58,3,119,157,125,0,0,0,0,0,2,99,54,122,0,0,0,119,142,101
0,0,0,0,57,49,0,110,128,121,4,3,6,0,0,0,106,105,106,4,0,0,136,138,119
0,3,8,0,56,24,6,121,147,127,0,8,1,4,2,0,107,59,121,0,0,0,124,132,128
0,0,0,4,57,34,25,135,136,121,0,0,0,1,0,0,85,92,95,0,0,0,133,127,122
0,0,1,3,27,64,0,119,133,115,0,4,0,3,2,0,100,59,108,0,0,0,125,137,137
0,0,2,0,28,44,0,127,149,124,0,0,11,3,0,3,75,64,114,0,5,2,112,141,120
0,0,0,0,29,59,20,124,142,126,0,13,8,0,0,0,81,82,122,0,0,8,134,130,130
0,0,6,0,57,59,12,112,142,127,0,0,2,0,0,2,111,104,100,3,0,0,123,117,95
0,3,0,0,70,72,0,122,143,113,4,1,10,0,0,0,92,50,86,0,0,0,132,123,125
0,2,5,1,64,52,5,122,129,129,0,4,2,4,1,0,133,51,112,0,2,5,129,152,119
0,1,2,0,39,70,44,110,131,126,2,0,7,0,0,0,83,66,83,1,0,0,121,132,114
0,0,2,0,63,31,8,124,140,133,0,0,0,4,2,3,72,73,91,10,2,0,105,155,121
0,6,11,0,88,73,0,122,145,129,0,0,10,1,0,0,117,71,125,0,2,0,121,151,123
0,4,0,9,70,47,0,109,144,133,5,3,5,2,0,0,82,89,116,2,0,0,120,146,123
0,3,0,1,67,74,0,124,127,134,0,8,0,0,0,0,58,49,100,0,0,0,148,147,103
0,0,13,3,70,70,37,118,139,138,0,1,2,4,4,2,72,58,107,0,0,0,114,160,117
0,2,0,3,84,48,0,120,148,123,4,0,1,3,1,0,98,94,120,6,4,0,140,134,105
1,0,0,0,0,1,0,2,0,0,0,0,0,0,2,3,0,0,0,2,1,0,134,125,98
1,0,0,0,1,0,0,11,0,6,16,0,0,0,1,0,0,0,0,0,0,0,116,148,116
1,0,0,0,0,0,0,2,2,0,8,0,0,0,1,0,0,0,0,0,0,0,124,137,138
1,0,0,0,0,0,2,4,5,4,0,0,0,0,0,0,0,0,0,0,3,1,119,127,119
1,0,0,0,0,2,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,152,126,147
1,0,0,0,2,3,0,8,7,10,1,0,17,0,0,0,0,0,0,0,0,0,115,147,139
1,0,0,0,0,1,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,141,147,99
1,0,0,0,0,1,0,7,0,6,10,0,0,0,0,0,0,0,0,3,1,0,125,140,129
1,0,0,0,0,0,2,0,4,1,0,0,7,0,0,0,0,0,0,3,3,2,129,155,134
1,0,0,0,2,0,0,0,5,0,0,10,3,0,0,0,2,0,0,0,5,7,134,123,141
1,0,0,0,0,3,0,1,7,6,0,0,0,0,0,0,0,0,0,8,0,0,144,158,127
1,0,0,0,2,0,4,3,0,0,23,0,7,0,0,0,0,0,0,3,2,0,109,136,121
1,0,0,0,0,0,0,0,7,0,0,15,0,0,0,0,0,0,0,0,0,1,108,142,120
1,0,0,0,0,2,0,5,13,2,19,5,8,0,0,0,0,0,0,0,0,16,134,132,122
1,0,0,0,0,2,0,5,12,2,7,0,13,0,0,0,0,0,0,4,1,0,122,141,137
1,0,0,0,0,0,1,3,0,7,6,0,0,0,0,0,2,0,0,7,0,0,125,152,126
1,0,0,0,3,2,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,7,112,143,136
1,0,0,0,0,2,2,4,4,4,0,0,0,0,0,0,1,0,0,0,3,0,112,136,123
1,0,0,0,3,0,3,5,0,0,1,11,11,0,0,0,0,0,0,3,2,5,132,140,112
1,0,0,0,1,1,2,5,1,5,3,0,0,0,0,0,0,0,0,8,1,0,99,148,121
1,2,0,0,5,2,0,3,1,0,0,3,0,0,0,0,0,3,0,3,4,0,118,138,127
1,0,0,0,0,2,0,2,3,3,1,21,0,0,0,0,1,0,0,2,0,0,104,154,126
1,0,0,0,3,1,1,0,1,0,0,0,5,0,0,0,0,0,0,3,0,3,122,161,130
1,0,0,0,1,0,0,10,0,7,0,0,0,0,0,0,0,3,0,7,0,4,122,128,132
1,0,0,0,3,1,0,6,0,1,7,12,0,0,1,0,2,0,0,3,0,3,133,151,127
1,0,0,0,0,0,0,10,0,0,6,3,0,0,0,0,0,0,0,7,2,0,121,140,113
1,0,0,0,2,0,3,3,6,2,0,3,0,0,0,0,0,0,0,0,0,2,126,146,138
1,0,0,0,0,2,1,1,0,5,0,0,0,0,0,0,0,0,0,10,12,14,132,144,133
1,0,0,0,0,1,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,140,156,134
1,0,0,0,0,0,0,0,2,5,5,8,2,0,0,0,0,0,0,3,8,3,105,146,114
1,0,0,0,0,0,0,1,0,3,10,0,0,0,0,1,1,0,0,0,2,0,135,159,129
1,0,0,0,0,1,2,2,0,4,27,14,0,0,0,0,0,1,0,1,1,4,102,132,133
1,0,0,0,0,0,3,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,128,133,132
1,0,0,0,0,0,0,0,1,1,21,14,10,0,2,0,0,0,0,0,7,0,123,166,131
1,0,0,0,2,0,1,3,7,0,0,4,0,0,0,0,0,0,0,4,0,1,135,160,108
1,0,0,0,1,2,0,2,1,0,28,0,0,0,0,0,0,0,0,0,4,5,128,151,118
1,1,0,0,0,0,0,2,8,4,0,0,0,0,0,0,3,0,0,5,5,0,139,130,121
1,0,0,0,1,0,0,8,2,0,0,0,1,0,0,0,4,0,0,5,3,0,116,118,131
1,0,0,0,0,0,3,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,128,160,146
1,0,0,0,0,2,1,1,0,5,15,0,0,0,0,0,0,0,0,3,0,0,125,123,135
1,0,0,0,0,0,0,1,2,0,12,12,0,0,0,0,0,0,0,3,2,0,127,129,126
1,0,0,0,0,2,4,3,0,0,0,0,10,0,0,0,0,3,0,0,3,0,144,127,141
1,0,0,0,0,0,1,5,0,1,15,12,5,0,0,4,0,0,0,8,1,0,137,146,127
1,0,0,0,0,0,1,2,2,3,0,4,3,0,0,0,0,0,0,5,0,0,107,161,101
1,0,0,0,3,0,0,2,8,0,0,0,1,1,0,0,0,1,0,2,0,5,129,121,130
1,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,1,0,0,0,0,133,159,139
1,0,0,0,0,0,2,10,9,2,0,8,9,0,0,0,0,0,0,8,0,0,128,138,124
1,0,0,0,0,0,6,0,12,6,3,1,0,0,0,3,0,0,0,0,4,0,137,150,159
1,0,0,0,1,0,2,3,0,7,8,10,0,1,0,0,0,0,0,4,3,0,117,165,131
1,0,0,0,0,2,2,0,1,2,1,0,0,0,1,0,0,1,0,5,0,0,117,151,151
2,25,72,83,3,0,0,124,137,128,56,104,91,0,1,0,0,0,0,11,16,0,123,140,128
2,31,104,91,0,0,3,107,142,112,60,98,97,1,0,0,0,0,0,0,0,0,103,145,133
2,20,97,91,0,7,2,100,144,127,51,105,73,0,0,0,0,0,0,14,0,0,123,144,132
2,22,85,75,6,0,12,117,123,106,56,89,90,0,0,0,0,0,0,0,0,0,126,135,115
2,25,104,89,0,0,0,111,136,134,55,102,110,0,0,0,0,0,0,3,0,2,114,136,139
2,26,105,78,10,0,4,122,136,130,49,99,97,0,0,0,0,0,0,0,4,0,110,139,140
2,32,107,84,0,11,0,144,153,156,55,86,93,0,0,1,0,0,0,0,0,0,107,140,122
2,24,105,89,3,9,0,101,126,112,50,97,106,1,0,0,0,0,0,0,1,0,112,142,102
2,30,112,85,10,0,7,115,148,88,59,90,80,0,0,0,0,0,0,0,2,0,125,134,117
2,26,106,87,1,0,3,106,128,124,64,105,96,1,0,0,0,0,0,1,0,0,126,143,124
2,28,105,94,0,2,4,111,138,114,45,84,96,0,0,0,0,0,0,1,0,5,120,153,110
2,26,105,81,0,2,0,108,132,117,64,100,88,1,0,0,0,0,0,0,7,0,117,126,116
2,21,97,85,0,7,11,121,153,107,58,97,77,0,0,0,0,0,0,0,0,0,111,138,144
2,24,84,94,0,0,3,117,147,115,58,98,98,0,0,0,0,0,0,0,0,6,108,144,115
2,30,111,75,10,4,7,113,120,93,49,102,105,0,0,0,0,0,0,0,0,0,125,154,117
2,16,98,89,2,2,0,151,133,116,71,89,89,0,0,0,0,0,0,5,0,0,110,149,117
2,26,101,84,0,0,0,108,140,116,59,96,100,0,0,0,2,0,0,10,0,5,131,133,121
2,34,99,90,2,0,0,100,142,128,54,106,94,2,0,0,0,0,0,3,1,2,128,141,114
2,23,115,76,0,0,7,103,133,135,48,102,95,1,0,0,0,0,0,0,0,0,118,139,128
2,27,86,91,2,0,0,87,145,109,44,101,99,0,0,0,1,0,0,0,0,0,115,133,125
2,35,95,87,0,0,2,98,135,127,64,93,86,0,0,0,2,0,0,4,5,8,121,150,118
2,27,79,89,0,5,11,105,130,130,50,106,99,0,0,0,0,0,0,0,0,0,114,137,124
2,24,95,93,3,1,0,112,140,107,60,98,100,0,0,0,0,0,0,1,0,0,133,125,124
2,16,97,83,0,0,3,83,136,133,60,99,96,0,0,0,0,0,0,0,0,0,121,133,110
2,19,89,95,1,1,0,113,151,112,40,112,76,2,0,0,0,0,1,0,12,0,129,152,105
2,19,112,91,1,0,2,125,138,131,59,95,91,0,0,0,1,0,0,2,1,0,127,124,114
2,22,104,93,0,0,6,132,144,105,62,97,102,0,0,0,0,0,0,0,0,0,120,135,124
2,31,117,94,2,0,2,125,153,116,51,96,83,2,0,0,0,2,0,4,0,0,121,121,112
2,27,113,81,8,2,0,119,135,71,43,89,98,1,0,0,0,0,0,6,13,0,107,136,158
2,26,122,93,8,8,5,125,135,112,60,105,104,0,0,0,0,0,0,0,0,10,123,132,105
2,14,121,88,3,0,15,109,145,106,34,90,91,1,0,0,0,0,0,0,0,4,116,121,120
2,21,114,89,4,0,0,120,146,126,53,87,109,0,0,0,0,0,0,0,6,0,125,149,120
2,31,98,76,0,0,4,106,162,100,49,117,113,0,0,0,0,0,0,0,0,0,142,130,112
2,36,92,88,0,2,2,121,136,129,42,90,101,0,1,0,0,0,0,4,3,0,135,141,129
2,26,101,84,0,9,7,129,137,90,42,106,88,0,0,0,0,0,0,0,3,2,124,139,131
2,24,113,91,5,4,0,133,141,130,47,116,79,0,0,0,1,0,0,0,0,0,100,133,127
2,31,95,92,4,0,0,133,141,117,64,101,94,0,0,0,0,0,0,1,0,6,75,136,135
2,30,101,84,4,7,7,95,154,135,68,109,105,0,0,0,1,0,0,0,0,0,104,134,119
2,16,98,84,0,1,0,132,124,112,52,96,103,0,0,0,0,0,0,0,6,0,120,140,122
2,31,93,88,2,5,2,124,121,126,64,97,90,1,0,0,0,0,0,0,1,1,135,134,120
2,27,107,83,4,0,0,116,130,139,69,89,102,1,0,1,1,0,1,1,0,16,124,136,130
2,22,106,92,0,0,9,135,122,110,48,96,86,0,0,0,0,0,0,1,4,0,126,129,109
2,28,111,81,0,2,0,99,127,121,50,95,106,0,0,0,0,0,0,0,2,0,116,141,120
2,24,103,89,1,6,4,111,140,124,60,84,93,0,0,0,0,0,0,0,0,0,146,129,125
2,27,110,88,4,2,4,107,137,106,50,93,98,1,0,0,0,0,0,5,0,0,107,129,104
2,29,111,99,2,7,0,114,153,119,55,84,89,0,0,0,0,0,0,0,9,6,121,135,114
2,28,91,83,0,0,0,104,128,121,55,104,99,0,0,0,0,0,0,1,0,0,107,140,112
2,20,103,84,0,0,7,114,153,97,56,88,106,0,0,0,0,0,0,0,0,0,125,139,134
2,29,95,73,0,0,0,112,118,123,40,106,81,7,0,0,1,1,0,3,0,7,122,142,127
2,17,86,83,1,4,1,135,141,112,61,115,90,1,3,0,0,0,0,0,2,0,114,131,110
3,7,0,4,77,144,59,136,99,45,124,138,104,51,101,89,1,0,2,0,0,0,111,122,116
3,0,1,7,72,52,8,121,93,69,137,135,154,48,104,100,3,0,0,0,0,6,128,146,130
3,0,0,9,84,69,26,121,109,62,123,186,127,44,98,94,0,5,1,1,0,0,123,120,116
3,0,6,3,94,69,2,115,91,64,115,110,135,40,89,99,7,0,2,0,2,0,93,132,116
3,3,5,0,78,91,25,108,96,70,123,141,102,43,101,85,3,1,3,5,0,0,124,129,137
3,0,0,0,82,63,41,123,93,77,119,162,108,43,98,95,0,0,0,0,0,0,129,149,118
3,0,0,7,81,81,43,114,88,76,126,118,126,44,105,94,0,0,0,3,7,0,109,133,123
3,0,0,0,71,91,18,115,95,56,126,135,125,57,103,90,2,0,0,7,6,0,117,140,131
3,0,0,0,45,97,17,115,99,50,82,150,137,48,95,92,0,1,0,0,0,0,137,131,121
3,0,0,1,69,92,0,123,88,54,139,156,143,39,98,87,3,4,0,3,0,0,134,125,145
3,3,9,0,83,104,33,118,100,55,119,145,141,56,103,94,0,0,0,13,0,3,146,154,103
3,3,0,0,80,106,23,126,98,53,131,139,106,45,103,105,0,2,0,0,1,0,133,135,127
3,0,0,2,75,85,0,121,91,64,105,116,84,45,94,95,0,7,0,0,2,5,102,160,122
3,0,0,8,68,51,22,116,93,74,146,123,111,53,104,99,0,0,0,6,4,0,105,132,133
3,0,0,0,78,75,0,121,97,39,105,160,128,41,108,99,1,5,0,1,2,0,140,147,131
3,0,0,0,82,72,70,118,100,42,139,140,109,51,101,89,0,0,0,4,0,0,126,152,130
3,4,0,10,83,83,35,113,85,48,129,146,117,49,98,86,0,0,0,3,3,0,99,149,104
3,0,4,9,52,70,49,113,94,51,114,130,129,42,98,96,0,0,3,0,0,0,144,144,123
3,0,0,2,71,93,0,132,102,55,134,128,119,46,108,111,0,0,0,0,4,2,133,127,112
3,0,9,0,61,104,0,118,90,73,122,138,176,36,105,102,7,0,2,0,0,0,132,123,125
3,3,1,3,33,89,14,125,102,56,110,136,119,35,97,110,0,2,0,2,0,2,104,135,114
3,0,0,4,73,71,0,124,104,56,93,101,134,37,99,90,4,1,0,6,1,0,144,136,122
3,0,0,0,77,33,1,131,97,83,139,98,123,47,97,92,0,5,8,1,0,0,118,140,136
3,0,0,0,71,109,27,124,95,53,153,131,114,45,97,89,0,0,0,5,0,0,139,140,138
3,4,0,0,85,99,8,109,87,41,156,159,99,52,104,92,3,0,0,0,0,0,139,143,111
3,0,0,0,81,69,21,125,103,23,132,143,92,54,96,95,0,4,0,13,0,8,127,146,119
3,5,0,4,51,104,0,129,103,80,81,165,130,49,94,83,1,0,0,0,0,0,112,155,133
3,2,0,0,66,53,1,123,98,66,124,123,111,56,94,104,0,2,0,0,5,0,112,158,141
3,7,0,0,69,65,0,114,89,68,113,124,136,40,106,95,1,5,0,0,0,0,113,138,120
3,2,0,3,89,108,15,118,87,55,129,134,109,53,103,106,11,0,2,5,3,0,128,131,116
3,0,2,1,77,92,22,110,91,39,113,100,115,56,101,98,0,0,0,1,0,0,122,154,118
3,0,0,2,99,94,56,118,100,52,139,111,102,50,109,100,3,0,7,4,5,1,144,143,111
3,1,1,9,79,96,31,122,93,60,142,133,101,33,103,100,0,0,0,1,4,0,124,138,143
3,2,0,0,66,85,44,117,101,54,132,152,89,44,115,97,8,0,0,0,8,6,126,145,120
3,3,3,0,68,93,17,132,89,70,113,123,92,52,100,103,0,1,4,9,0,0,132,135,119
3,0,0,0,92,87,16,130,82,58,105,126,120,45,95,95,10,0,0,4,7,0,144,127,113
3,4,0,7,95,120,24,121,93,76,122,168,116,49,99,90,0,0,0,3,4,4,113,132,127
3,2,2,0,51,85,0,112,103,70,130,156,99,46,105,93,0,0,0,0,3,0,132,118,120
3,0,0,5,66,85,22,123,87,73,105,120,120,37,91,85,6,6,0,7,2,0,125,152,105
3,0,0,0,82,85,0,132,100,72,121,118,99,50,100,109,0,2,0,1,0,0,100,147,128
3,10,0,1,100,91,31,128,109,68,149,146,123,47,108,101,1,0,0,0,0,0,124,136,131
3,0,0,0,57,117,11,112,85,59,127,178,111,40,105,99,6,0,0,0,0,0,132,139,128
3,0,3,2,62,77,4,116,106,40,110,149,94,50,91,95,1,0,0,0,2,0,134,159,100
3,2,0,0,78,91,37,117,85,54,100,146,104,53,107,98,0,0,3,2,1,0,117,147,130
3,0,0,0,91,55,42,131,101,59,119,140,128,38,102,104,0,1,0,0,0,7,146,140,130
3,4,0,0,51,79,0,119,104,65,115,140,157,46,105,103,6,0,4,6,1,10,126,137,122
3,4,0,2,85,82,41,137,88,72,149,154,112,40,98,94,0,1,0,0,4,0,102,130,121
3,0,0,0,59,54,28,127,101,65,118,134,117,43,100,93,4,0,1,2,1,0,118,138,119
3,0,0,0,89,95,0,123,98,55,102,159,123,48,101,84,5,0,0,0,0,0,126,129,104
